project_id,text,type,source
0000 - inventory.pdf,"The UUIS shall provide a Web interface that allows users to access and manage the integrated inventory.","Functional","PURE"
0000 - inventory.pdf,"The IUFA shall guarantee secure access to the data from outside the university during working hours.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow users to transfer assets.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow users to edit assets.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow users to modify all asset fields except for IDs.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow the use of a bulk entry file for modifying assets.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow users to add inventory assets.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow the use of bulk entry to add multiple assets.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow authorized users to create requests to borrow an asset or reserve a space.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow inventory users to check returned assets and update the inventory.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow IT group members to create a new space and modify floor structures upon receipt of an exception request.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow authorized users to display and approve pending requests.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall notify the user by email when a request is treated.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall update the inventory when a user receives a requested asset.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall authenticate all users via a username and a password.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall allow administrative level users to delegate authorized actions to other users.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall generate asset reports by location.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall generate request reports.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall generate user permission reports.","Functional","PURE"
0000 - inventory.pdf,"The UUIS shall enable a learning time between 2 to 4 hours maximum for users.","Not Functional","PURE"
0000 - inventory.pdf,"The Web interface shall use consistent terminology for users with basic internet and office experience.","Not Functional","PURE"
0000 - inventory.pdf,"The application shall be available during all working hours.","Not Functional","PURE"
0000 - inventory.pdf,"The application shall be installable on Microsoft and Unix platforms.","Not Functional","PURE"
0000 - inventory.pdf,"The Web application shall run on IE, Firefox, Chrome, Opera, and Safari browsers.","Not Functional","PURE"
0000 - inventory.pdf,"The UUIS shall restrict database server access to IT team members locally.","Not Functional","PURE"
0000 - inventory.pdf,"The UUIS shall terminate any query that exceeds 1 minute of execution time.","Not Functional","PURE"
0000 - inventory.pdf,"The UUIS shall execute backup operations periodically.","Not Functional","PURE"
0000 - inventory.pdf,"The UUIS shall be designed to facilitate future evolution and maintenance operations.","Not Functional","PURE"
