project_id,text,type,source
1999 - tcs.pdf,"The TCS shall consist of the TCS workstation Hardware Configuration Items (HWCIs), TCS Computer Software Configuration Items (CSCIs), and additional TCS Support HWCIs and CSCIs.",Functional,PURE
1999 - tcs.pdf,All TCS HWCIs and CSCIs shall be Year 2000 compliant.,Not Functional,PURE
1999 - tcs.pdf,"The TCS shall provide command and control of the payload Air Vehicle (AV), and data link.",Functional,PURE
1999 - tcs.pdf,The TCS shall interface with and export payload data to military supported units via external tactical communications systems and C4I systems.,Functional,PURE
1999 - tcs.pdf,The TCS shall support five levels of UAV interaction ranging from secondary imagery receipt to full function control from takeoff to landing.,Functional,PURE
1999 - tcs.pdf,The TCS shall provide software capabilities and hardware configurations necessary to fulfill operational tasking requirements across the five levels of interaction.,Functional,PURE
1999 - tcs.pdf,"The TCS states of operation shall include Startup, Operation, and Shutdown.",Functional,PURE
1999 - tcs.pdf,The TCS states shall not exist concurrently.,Not Functional,PURE
1999 - tcs.pdf,The TCS shall enter the Startup State upon application of power.,Functional,PURE
1999 - tcs.pdf,"The Startup State shall be comprised of Normal Startup Mode and Recovery Startup Mode.",Functional,PURE
1999 - tcs.pdf,The TCS shall enter the Normal Startup Mode when the TCS software is terminated normally.,Functional,PURE
1999 - tcs.pdf,The TCS shall enter the Recovery Startup Mode when the software is halted due to an unplanned power interruption or abnormal program termination.,Functional,PURE
1999 - tcs.pdf,The TCS shall determine which of the five levels of interaction are achievable by the TCS configuration during startup.,Functional,PURE
1999 - tcs.pdf,The TCS shall prohibit levels of interaction higher than those achievable by a particular configuration.,Not Functional,PURE
1999 - tcs.pdf,The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction.,Functional,PURE
1999 - tcs.pdf,The TCS shall initialize the system to place it in the Operations State within 60 seconds from the time power is supplied and the application is launched during Normal Startup Mode.,Not Functional,PURE
1999 - tcs.pdf,The TCS shall provide the system functionality to resume the Operations State within 45 seconds during Recovery Startup Mode.,Not Functional,PURE
1999 - tcs.pdf,The TCS shall be capable of automatically recording system state data and interface communications to support event reconstruction.,Functional,PURE
1999 - tcs.pdf,The TCS shall prompt the operator to select the type of recovery to be executed following an abnormal termination.,Functional,PURE
1999 - tcs.pdf,"The Operations State shall consist of three modes: normal operations, training operations, and maintenance operations.",Functional,PURE
1999 - tcs.pdf,The Operations State modes shall not exist concurrently.,Not Functional,PURE
1999 - tcs.pdf,The operator shall have the capability to command the system to the Shutdown State from all modes under the Operations State.,Functional,PURE
1999 - tcs.pdf,The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the Normal Operations Mode and Training Mode.,Functional,PURE
1999 - tcs.pdf,The TCS shall support concurrent operation of Mission Planning and Mission Control functions during Normal Operations Mode.,Functional,PURE
