project_id,text,type,source
2000-nasa x38.doc,"The TCS shall support 5 levels of UAV interaction: Level 1 (secondary imagery/data receipt), Level 2 (direct imagery/data receipt), Level 3 (payload control), Level 4 (AV control less launch/recovery), and Level 5 (full control).",Functional,PURE
2000-nasa x38.doc,"The TCS shall consist of workstation Hardware Configuration Items (HWCIs), Computer Software Configuration Items (CSCIs), and additional support HWCIs and CSCIs.",Functional,PURE
2000-nasa x38.doc,All TCS HWCIs and CSCIs shall be Year 2000 compliant.,Not Functional,PURE
2000-nasa x38.doc,The TCS shall meet the applicable capability and characteristic criteria established by the Operational Requirements Document (ORD) for the RQ-1A Predator and the Close Range-Tactical Unmanned Aerial Vehicle (CR-TUAV).,Functional,PURE
2000-nasa x38.doc,The TCS shall provide software capabilities and hardware configurations necessary to fulfill operational tasking across the 5 levels of interaction.,Functional,PURE
2000-nasa x38.doc,The TCS shall be interoperable with Electro-Optic/Infrared (EO/IR) and Synthetic Aperture Radar (SAR) payloads as identified in the Interoperable TCS Payloads table.,Functional,PURE
2000-nasa x38.doc,"The TCS states of operation shall include Startup, Operation, and Shutdown.",Functional,PURE
2000-nasa x38.doc,The TCS states shall not exist concurrently.,Not Functional,PURE
2000-nasa x38.doc,The TCS shall enter the Startup State upon application of power.,Functional,PURE
2000-nasa x38.doc,The Startup State shall comprise the Normal Startup Mode and the Recovery Startup Mode.,Functional,PURE
2000-nasa x38.doc,The TCS shall enter Normal Startup Mode when the software is terminated normally.,Functional,PURE
2000-nasa x38.doc,The TCS shall enter Recovery Startup Mode when the software is halted due to unplanned power interruption or abnormal termination.,Functional,PURE
2000-nasa x38.doc,The TCS shall determine which of the 5 levels of interaction are achievable by the configuration during startup.,Functional,PURE
2000-nasa x38.doc,The TCS shall prohibit levels of interaction higher than those achievable by a particular configuration.,Functional,PURE
2000-nasa x38.doc,The TCS shall inform the operator if they attempt to execute a function prohibited by the determined level of interaction.,Functional,PURE
2000-nasa x38.doc,The TCS shall initialize the system to enter the Operations State within 60 seconds from the time power is supplied and the application is launched in Normal Startup Mode.,Not Functional,PURE
2000-nasa x38.doc,The TCS shall provide functionality to resume the Operations State within 45 seconds in Recovery Startup Mode.,Not Functional,PURE
2000-nasa x38.doc,The TCS shall automatically record system state data and interface communications to support event reconstruction.,Functional,PURE
2000-nasa x38.doc,The TCS shall prompt the operator to select the type of recovery to be executed after abnormal termination.,Functional,PURE
2000-nasa x38.doc,"The Operations State shall include three modes: normal operations, training operations, and maintenance operations.",Functional,PURE
2000-nasa x38.doc,The Operations State modes shall not exist concurrently.,Not Functional,PURE
