project_id,text,type,source
BEYOND-Public,The accesspoint shall provide a multimodal interface between users and the network.,Functional,PURE
BEYOND-Public,The accesspoint shall enable speech controlled dialogs.,Functional,PURE
BEYOND-Public,The system shall provide a special help system to address dead ends in dialogs.,Functional,PURE
BEYOND-Public,The system shall provide contextual understanding during user interaction.,Functional,PURE
BEYOND-Public,The system shall guide users throughout the interaction process to avoid cognitive overload.,Functional,PURE
BEYOND-Public,The system shall maintain dialog status when switching between different modalities.,Functional,PURE
BEYOND-Public,The software system shall support modular extensibility through component-based application interfaces.,Not Functional,PURE
BEYOND-Public,The system shall detect people automatically without requiring a subject to approach the terminal.,Functional,PURE
BEYOND-Public,The system shall provide speaker independent voice recognition for all users regardless of age or gender.,Functional,PURE
BEYOND-Public,The system shall be implemented on a Microsoft Windows based platform.,Not Functional,PURE
BEYOND-Home,"The authoring tool shall provide a set of standard widgets including screen, dialog, text, button, slider, and picture.",Functional,PURE
BEYOND-Home,"The authoring tool shall manage a project repository containing font definitions, color palettes, bitmaps, and strings.",Functional,PURE
BEYOND-Home,The authoring tool shall support the simulation of a user interface on a PC.,Functional,PURE
BEYOND-Home,The authoring tool shall provide a menu editor to define items and navigation functions.,Functional,PURE
BEYOND-Home,The authoring tool shall generate C code for a target platform.,Functional,PURE
BEYOND-Vetronics,The Vetronics system shall display video from several types of video sources without artifacts.,Not Functional,PURE
BEYOND-Vetronics,The system shall support textual and graphic overlay on displayed video for navigation and diagnostics.,Functional,PURE
BEYOND-Vetronics,The firmware shall include a UI-interpreter to visualize UI code generated by the UI Editor.,Functional,PURE
BEYOND-Vetronics,The firmware shall control all available hardware and expose hardware state to the UI-Code.,Functional,PURE
BEYOND-Vetronics,"The UI Editor shall download the developed UI to the Vetronics hardware via Serial, USB, FireWire, IrDa, CAN, or other interfaces.",Functional,PURE
BEYOND-Vetronics,The UI Editor shall allow the connection of real actions to UI elements to define system behavior.,Functional,PURE
BEYOND-Vetronics,The UI Editor shall utilize a component-based architecture using COM or COM+ technologies.,Not Functional,PURE
BEYOND-Avionics,The intelligent flight deck shall detect human slips and mistakes by comparing pilot intentions with actual flight status.,Functional,PURE
BEYOND-Avionics,The system shall propose optimized resolution alternatives to the pilot during critical situations.,Functional,PURE
BEYOND-Avionics,The system shall automatically adapt the Navigation Display range to show the cause of warning signals.,Functional,PURE
BEYOND-Avionics,The user interface shall provide an option for experts to overrule the automation and adaptation.,Functional,PURE
BEYOND-Avionics,The system shall incorporate auditory warning signals to augment the visual channel.,Functional,PURE
BEYOND-Avionics,The intelligent flight deck system shall be programmed in Java using JACK Intelligent Agents.,Not Functional,PURE
