project_id,text,type,source
2004 - watcom.pdf,"The wcc386 compiler shall support a new -elf command line switch to specify ELF object file format.","Functional","PURE"
2004 - watcom.pdf,"The wcc386 compiler shall support a new -zpic command line switch to enable Position-Independent Code generation.","Functional","PURE"
2004 - watcom.pdf,"The CG386 code generator shall exclude the EBX register from normal register allocation when PIC generation is enabled.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall generate a Position-Independent function prologue that computes the absolute address of the Global Offset Table into the EBX register.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall save the EBX, ESI, and EDI registers on the stack during the function prologue for both PIC and PDC.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall restore all saved registers from the stack during the function epilogue.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall generate R_386_PLT32 relocation types for direct function calls when PIC is enabled.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall reference global data through offsets in the Global Offset Table using the EBX register as a base.","Functional","PURE"
2004 - watcom.pdf,"The compiler shall use R_386_GOTOFF relocations for position-independent references to static data.","Functional","PURE"
2004 - watcom.pdf,"The CG386 code generator shall implement ELF object file output by mapping OMF entities to OWL functions.","Functional","PURE"
2004 - watcom.pdf,"The OWL library shall be extended to support 386-specific relocation types including R_386_GOT32, R_386_GOTOFF, R_386_GOTPC, and R_386_PLT32.","Functional","PURE"
2004 - watcom.pdf,"The wlink linker shall support building ELF shared objects using the 'form ELF DLL' command line option.","Functional","PURE"
2004 - watcom.pdf,"The linker shall set the ELF header e_type field to ET_DYN when building shared objects.","Functional","PURE"
2004 - watcom.pdf,"The linker shall include a PT_DYNAMIC program header in shared objects to specify dynamic linking information.","Functional","PURE"
2004 - watcom.pdf,"The linker shall create a .dynamic section containing the dynamic array tags required by the System V ABI.","Functional","PURE"
2004 - watcom.pdf,"The linker shall generate both a normal symbol table (.symtab) and a dynamic symbol table (.dynsym) for shared objects.","Functional","PURE"
2004 - watcom.pdf,"The linker shall merge all dynamic relocations into a single relocation table named .rel.dyn for shared objects.","Functional","PURE"
2004 - watcom.pdf,"The linker shall build a Global Offset Table (GOT) when R_386_GOT32, R_386_GOTOFF, or R_386_GOTPC relocations are encountered.","Functional","PURE"
2004 - watcom.pdf,"The linker shall reserve the first three entries of the Global Offset Table as specified by the 386 ABI.","Not Functional","PURE"
2004 - watcom.pdf,"The linker shall define the symbol *GLOBAL_OFFSET_TABLE* at the base of the .got section.","Functional","PURE"
2004 - watcom.pdf,"The linker shall create a Procedure Linkage Table (PLT) when R_386_PLT32 relocations are encountered for STT_FUNC symbols.","Functional","PURE"
2004 - watcom.pdf,"The linker shall create R_386_JUMP_SLOT relocations for PLT entries to support lazy binding.","Functional","PURE"
2004 - watcom.pdf,"The linker shall support reading existing ELF shared objects using the Object Reading Library (ORL).","Functional","PURE"
2004 - watcom.pdf,"The linker shall include a PT_INTERP program header in executables that use shared objects, specifying /lib/ld-linux.so.2 as the path.","Functional","PURE"
2004 - watcom.pdf,"The linker shall record shared object dependencies using DT_NEEDED entries in the dynamic section.","Functional","PURE"
2004 - watcom.pdf,"The linker must disable 4-byte offset correction for R_386_PC32 relocations when an implicit addend is specified in the ELF file.","Not Functional","PURE"
2004 - watcom.pdf,"The ORL shall treat STT_NOTYPE symbols as normal symbols to prevent fatal linker errors during dietlibc linking.","Functional","PURE"
2004 - watcom.pdf,"The linker shall adjust the p_memsz field in the program header to account for .bss section allocation and page alignment.","Not Functional","PURE"
