project_id,text,type,source
2005 - clarus high.doc,"The Clarus system shall collect, quality control, and disseminate environmental data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to access in-situ environmental observations from data collectors.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to access remotely sensed environmental observations from data collectors.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall calculate derived environmental data from observations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to receive roadway weather measurements derived from VII data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall allow access to new surface transportation related observed environmental data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data derived from images.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept surface condition data derived from surface images.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept atmospheric condition data derived from atmospheric images.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept weather hazard reports containing the hazard type, location, and timeframe.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire and disseminate National Weather Service (NWS) watches, warnings, and advisories.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to retrieve environmental data directly from environmental sensor stations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall minimize the time for data acquisition.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall process data as they are received.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall collect pavement-related observations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from railway systems or in situ ESS along tracks.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from railroad vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from (roadway) vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from maintenance and construction vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from service patrol vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from transit vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept environmental data from emergency vehicles.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to receive weather data from weather service providers.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall implement continuous quality control processes.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall provide environmental data quality flags.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall provide notification of data quality conditions to data collectors.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall detect out of range values.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall not modify original observations.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall apply appropriate quality checks based on the completeness of received sensor station metadata.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall allow human intervention to override automatically applied quality assessment.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall record the methods applied when deriving quality control information.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to implement quality control rules for each environmental parameter.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to implement quality control rules for specific environmental situations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to implement quality control rules specific to observation locations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to base its quality control process on values from multiple observations.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to base its quality control process on historical environmental data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to use multiple algorithms for its quality control process.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to detect data submission errors.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to provide sensor equipment data in response to a request.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall minimize the time for data dissemination.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to disseminate data based on spatial queries.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall maintain a dynamic library of data for at least seven days.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall alert users to system modifications.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall not require approval to request environmental data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall enable system administrators to manage security groups.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to restrict environmental data publication based on source.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall record statistics about its operation.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall log data transactions.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system baseline data types shall be defined by the NTCIP ESS 1204 standard for data collection.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system data definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate atmospheric data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate surface data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate hydrologic data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate atmospheric metadata.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate surface metadata.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate hydrologic metadata.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept only observations that include location, timeframe, and source metadata.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept only observations of known measurement types and units.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall acquire, process, and disseminate environmental sensor station metadata.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to acquire, process, and disseminate environmental data from across North America.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall accept data through a Clarus standard interface.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to communicate with environmental sensor stations using the NTCIP ESS 1204 standard for data collection.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to communicate with RWIS databases through their native interfaces.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to communicate with an individual ESS through its native interface.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to collect environmental data that are manually entered.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall transfer data as efficiently as possible.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall employ industry standards to minimize implementation impact to users and providers.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall allow service providers to select specific desired data sets.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall respond to queries for environmental data from the available data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall enable environmental data queries by timestamp.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall enable environmental data queries by location reference.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall enable environmental data queries by quality.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall enable environmental data queries by source.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall provide a user interface for system administration.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall manage system user privileges according to the Clarus data sharing agreements.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall allow users to create a data subscription request.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to be hosted at one or more physical locations.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall use hardware that implements industry accepted standard interfaces.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall use software that implements industry accepted standard interfaces.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to operate on redundant hardware.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall disseminate data in response to a scheduled request.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall disseminate data in response to polling.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall disseminate data in response to a change notification request.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to notify subscribers when data sets become available.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall disseminate data using standard Internet protocols.","Functional","PURE"
2005 - clarus high.doc,"All HTML coding shall meet FHWA requirements for web sites.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall support modular components.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to use latitude, longitude, and elevation (standard GPS) coordinates to specify location to the nearest fifty feet.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall use Coordinated Universal Time (UTC) for all timestamps.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall have a minimum of one system administrator.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to mitigate communication denial-of-service attacks.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to automatically recover from an unexpected shutdown.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to prioritize data handling for time-critical data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall support 470 million current observations.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to receive all reported environmental data during a fifteen minute time interval.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to complete an automated quality control check of environmental data within ten seconds of data receipt.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to publish new data within twenty minutes of data receipt.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall respond to a request for information within one minute.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to handle three hundred simultaneous requests for environmental element data.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to support six hundred concurrent users.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus system shall be able to support six thousand registered users.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall establish data sharing agreements with all participating sources of environmental data.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain continuous 24x7 operations.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide an environment that has uninterruptible power for the Clarus system.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide an environment that has redundant communication for the Clarus system.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide network management tools.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide setup support.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide for customer service.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide a trained support staff.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall define data quality assurance methods and criteria.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall define quality control rules for environmental observations.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall define data retention standards.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall provide documentation of Clarus standards.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain a comprehensive Clarus system test environment.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall test all software changes in the designated test environment before deployment to production.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall test all hardware changes in the designated test environment before deployment to production.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall operate the Clarus system according to its published IT Security Plan.","Not Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain information about data providers.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain metadata about each data provider's network.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain information about data provider redistribution restrictions.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain information about service providers.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain information about service provider communications.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall maintain information about service provider access to data.","Functional","PURE"
2005 - clarus high.doc,"The Clarus program shall allow potential weather element data providers to request permission to submit weather information.","Functional","PURE"
