project_id,text,type,source
2005 - clarus low.pdf,"The Clarus system shall implement quality checking processes as soon as data become available.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure schedules for executing QChS.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall record the methods applied when deriving quality checking information.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall record the quality checking methods used.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall implement quality checking rules for each environmental parameter.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure the quality checking rules for each environmental parameter.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall enable administrators to manage quality checking rules.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall implement quality checking rules for specific environmental situations.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure quality checking rules for specific environmental situations.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall implement quality checking rules specific to observation locations.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure quality checking rules specific to observation locations.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall base its quality checking process on historical environmental data.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure historical environmental data to be used by quality checking processes.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall use multiple algorithms for its quality checking process.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall configure multiple algorithms to be used in the quality checking process.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall allow access to new surface transportation-related environmental data.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall be configurable to allow new observation types to be implemented.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall enable administrators to manage security groups.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall enable administrators to manage security group members.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall include an administrator security group.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall include a quality manager security group.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall restrict environmental data publication based on source.",Functional,PURE
2005 - clarus low.pdf,"The CAS shall record data sharing restrictions.",Functional,PURE
2005 - clarus low.pdf,"The Clarus system shall record statistics about its operation.",Functional,PURE
