project_id,text,type,source
grid_3d_application,The product shall plot data points in a scientifically correct manner.,Functional,PURE
grid_3d_application,The product shall label grid axes correctly according to the input from the data file.,Functional,PURE
grid_3d_application,The product shall color data points in accordance with the cluster number contained in the data file.,Functional,PURE
grid_3d_application,The product shall support a maximum of 2000 data points.,Functional,PURE
grid_3d_application,The product shall display the name of a data point upon a single mouse click over the point.,Functional,PURE
grid_3d_application,The product shall display all details of a data point upon a double-click over the point.,Functional,PURE
grid_3d_application,The product shall allow the selection of multiple data points to display multiple names.,Functional,PURE
grid_3d_application,The product shall provide rotation functions to orient the grid.,Functional,PURE
grid_3d_application,The product shall provide zoom functions to orient the grid.,Functional,PURE
grid_3d_application,The product shall provide move functions to orient the grid.,Functional,PURE
grid_3d_application,The product shall support data files containing a name for each data point.,Functional,PURE
grid_3d_application,The product shall support data files containing three parameters for plotting each data point.,Functional,PURE
grid_3d_application,The product shall support data files containing a single parameter to designate the color of each point.,Functional,PURE
grid_3d_application,The product shall support data files containing a description for each data point.,Functional,PURE
grid_3d_application,The product shall allow the user to specify custom axis headings via the first row of the data file.,Functional,PURE
grid_3d_application,The product must be available on both Windows and Linux operating platforms.,Not Functional,PURE
grid_3d_application,The execution of the application must be maintained on the server side.,Not Functional,PURE
grid_3d_application,The product should run on a minimum of a mid-range personal computer.,Not Functional,PURE
grid_3d_application,The product shall operate with a mouse and keyboard as minimum input tools.,Not Functional,PURE
grid_3d_application,The product points should be sized to remain visible and selectable without distorting the overall pattern.,Not Functional,PURE
grid_3d_application,The product shall be colored to allow clear printing of black text and points on a white background.,Not Functional,PURE
grid_3d_application,The product should be intuitive and require no specialist training for use.,Not Functional,PURE
grid_3d_application,The product shall start within 30 seconds.,Not Functional,PURE
grid_3d_application,The product interaction with data points shall have a delay of no longer than 2 seconds.,Not Functional,PURE
grid_3d_application,The product response to orientation changes shall be fast enough to avoid interrupting the user's flow of thought.,Not Functional,PURE
