project_id,text,type,source
2006 - eirene sys 15.pdf,GSM-R networks shall support the GSM telephony teleservice.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support the GSM emergency calls teleservice for 112 calls.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Voice Group Call Service (VGCS).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Voice Broadcast Service (VBS).,Functional,PURE
2006 - eirene sys 15.pdf,"GSM-R networks shall support Asynchronous 2.4 kbps, 4.8 kbps, and 9.6 kbps transparent bearer services.",Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Calling Line Identification Presentation (CLIP).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Connected Line Identification Presentation (CoLP).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Call Forwarding Unconditional (CFU).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Call Forwarding on Mobile Subscriber Busy (CFB).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Call Waiting (CW).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Call Hold (HOLD).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Multi-Party Service (MPTY).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Closed User Group (CUG).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Barring of Outgoing International Calls except those to Home PLMN Country (BOIC-exHC).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Barring of Incoming Calls when Roaming Outside the Home PLMN Country (BIC-Roam).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Unstructured Supplementary Service Data (USSD).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Sub-addressing.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Enhanced Multi-Level Precedence and Pre-emption (eMLPP).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support User-to-User Signalling type 1 (UUS1).,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Functional Addressing.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Location Dependent Addressing.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Shunting Mode.,Functional,PURE
2006 - eirene sys 15.pdf,GSM-R networks shall support Multiple Driver Communications.,Functional,PURE
