project_id,text,type,source
"2006 - stewards.pdf","The System shall operate with Microsoft Internet Explorer versions 5.0 and 6.0.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall operate with Netscape Communicator version 4.7.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall operate with Netscape versions 6 and 7.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall operate with FireFox.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall operate on Certified and Accredited servers running corporate approved operating systems.","Not Functional","PURE"
"2006 - stewards.pdf","The Data Management component shall permit user access from the corporate Intranet.","Functional","PURE"
"2006 - stewards.pdf","The Data Management component shall permit authorized user access through the corporate firewall from an Internet connection.","Functional","PURE"
"2006 - stewards.pdf","The Data Research and Reporting component shall provide public access to reviewed and approved data sets.","Functional","PURE"
"2006 - stewards.pdf","The System shall use the current corporate standard Microsoft SQL Server database engine.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall be in compliance with all applicable Accessibility, Web Design, and Security policies.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall provide a tutorial that includes a quick start and a walk-thru of major system features.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide an online hierarchical and cross-linked help system in HTML format.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide an online form to enable users to request help.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide a user's guide containing instructions required to access and use the data system.","Functional","PURE"
"2006 - stewards.pdf","The Database shall house collective data assembled or generated during research activities including spatial and tabular data.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide a top-level screen to navigate and select individual watershed sites and their data.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide access to summary descriptions of research watersheds, stations, and instruments.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide tools to browse, query, and download individual sampling station data and metadata.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide charting tools to visualize time-series data over user-specified time frames.","Functional","PURE"
"2006 - stewards.pdf","The System shall generate tabular reports of selected data.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide web-based geographic information tools to view, query, and download spatial data.","Functional","PURE"
"2006 - stewards.pdf","The System shall allow users to examine, visualize, and download agricultural modeling data and results.","Functional","PURE"
"2006 - stewards.pdf","The System shall maintain a metadata database that provides browse and query access to formal descriptions of database elements.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide tools for database contributors to create and upload metadata.","Functional","PURE"
"2006 - stewards.pdf","The Metadata query tools shall support searches by location, theme, and keyword.","Functional","PURE"
"2006 - stewards.pdf","The System shall store hundreds of megabytes of data on demand.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall perform week-nightly backups of all user data, application data, and configuration files.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall perform weekly off-site storage of backups with 24-hour retrieval times.","Not Functional","PURE"
"2006 - stewards.pdf","The Application and Database servers shall be load balanced at the application level.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall use a back-end private network for database backups and large data transfers.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall provide data in standardized formats including tab-delimited text.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall support multiple levels of time-series data aggregation including daily, monthly, and yearly.","Functional","PURE"
"2006 - stewards.pdf","The User Interface shall use terminology commonly understood by the intended users.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall display a warning message when a low transmission speed is detected.","Functional","PURE"
"2006 - stewards.pdf","The System shall provide a non-graphical interface option.","Functional","PURE"
"2006 - stewards.pdf","The metadata query response time shall be three seconds or less.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall be available to the intended audience 24 hours per day, 7 days a week.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall maintain 99% availability with a minimum tolerance of 50% of working hours in any week.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall use single-sign-on systems for user authentication.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall require user-id and password authentication for data modification and access to protected data.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall display descriptive and user-friendly messages for invalid input.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall display confirmation messages upon successful data processing.","Not Functional","PURE"
"2006 - stewards.pdf","The Web pages shall be designed for a minimum screen resolution of 800x600 pixels.","Not Functional","PURE"
"2006 - stewards.pdf","The System shall require cookies to be enabled in the browser settings for proper functionality.","Not Functional","PURE"
