project_id,text,type,source
AEIT_SRS_2009,"The system shall provide the user the capability to send e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to receive e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to delete e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall support the transmission of e-mail attachments. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to reply to e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to forward e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to print e-mail messages. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide a text editor for the formatting of e-mail content. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to establish automatic reply rules. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to establish out-of-office notification rules. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to establish rules for the temporary transfer of e-mail. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to move e-mails into inbox folders. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide a spell check function for e-mail content creation. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to organize e-mail content into personal folders. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to migrate existing public folders into the enterprise system. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to create public folders for information sharing. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to manage public folders for information sharing. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to create contact lists. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to import contact lists from external sources. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to export contact lists. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to share contact lists. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to share address books. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to create distribution lists. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to share distribution lists. ",Functional,PURE
AEIT_SRS_2009,"The system shall create query-based distribution lists from LDAP-compliant directory services. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to create multiple calendars. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to customize calendar views. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to schedule conference room resources. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to schedule teleconference resources. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to create reminders. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to create tasks. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to provision e-mail accounts. ",Functional,PURE
AEIT_SRS_2009,"The system shall integrate e-mail account provisioning with LDAP-compliant directory services. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to search for e-mails based on age and size. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to search for e-mails based on sender and recipient. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to search for e-mails based on subject and keyword. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to search for e-mails based on attachment content. ",Functional,PURE
AEIT_SRS_2009,"The system shall auto-enforce standard conventions for account creation. ",Not Functional,PURE
AEIT_SRS_2009,"The system shall auto-enforce standard conventions for distribution list creation. ",Not Functional,PURE
AEIT_SRS_2009,"The system shall provide the data center admin the capability to control message size limits. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to create generic e-mail accounts for multi-user access. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to customize the client application view by arranging fields. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the user the capability to archive e-mails at the desktop. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin a server-based archiving solution. ",Functional,PURE
AEIT_SRS_2009,"The system shall archive e-mail data at regularly defined intervals. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to search the archive repository. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to forward items from the archive. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to print items from the archive. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to restore archive items in bulk. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide archiving filters based on sender, recipient, date, and subject. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide archiving filters based on content, attachments, and keywords. ",Functional,PURE
AEIT_SRS_2009,"The system shall provide a long-term retention repository separate from the active e-mail system. ",Not Functional,PURE
AEIT_SRS_2009,"The system shall provide users the capability to search their specific portion of the archive repository. ",Functional,PURE
AEIT_SRS_2009,"The system must comply with federal regulations for retention including HIPAA and Sarbanes-Oxley. ",Not Functional,PURE
AEIT_SRS_2009,"The system shall provide the agency admin the capability to satisfy legal discovery requests. ",Functional,PURE
