project_id,text,type,source
2009 - inventory 2.0.pdf,"The Inventory Management System shall provide a categorized view of the entire inventory to the Construction Junction staff.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall display inventory departments and categories in a matrix format.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall list departments and categories in alphabetical order in each row from left to right and top to bottom.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow Administrators to add, edit, and delete inventory departments.","Functional","PURE"
2009 - inventory 2.0.pdf,"The Department Name shall be unique across the inventory.","Functional","PURE"
2009 - inventory 2.0.pdf,"The POS Department Code shall be at most 3 characters long.","Functional","PURE"
2009 - inventory 2.0.pdf,"The Department Unique Tag shall be at most 18 characters long.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall prevent the deletion of a Department if it contains categories or items.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow Administrators to add, edit, delete, and move inventory categories.","Functional","PURE"
2009 - inventory 2.0.pdf,"The Category Name shall be unique across the inventory.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall add a corresponding item to QuickBooks POS when a Stock Item Category is created.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall combine Item Details when the option to merge contents of selected categories is selected during a move.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow Administrators to define and edit item attributes for each department.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow Administrators to define and edit item details for each department or category.","Functional","PURE"
2009 - inventory 2.0.pdf,"The Item Attribute Name shall be unique across the inventory.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall support Number, Text, and Selection as detail types.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow users to add unique and stock items to the inventory.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall update QuickBooks POS promptly when an item is added to the inventory.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall create a new item entry in POS for each unique item added.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall generate item tags containing CJ logo, department name, category name, description, condition, size, price, item number, bar code, acquisition number, and date received.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow authorized users to modify, adjust quantity, split, and view history for inventory items.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall require a reason when an item quantity is decreased.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall maintain a history of all price changes and include an explanation for the change.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall record item added, price set, price changed, item sold, quantity adjusted, and item split events in the item history.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall calculate suggested prices based on historical original and sale prices of similar items.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow users to view past and current acquisitions from the CRM system.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow users to filter acquisitions by type, donor name, acquisition number, phone number, and status.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall synchronize changes to acquisition information between the CRM and the Inventory Management System immediately.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall allow Receiving Associates to process donated items and generate donation receipts.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall record the total amount of time taken to process each acquisition.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall decrement the inventory quantity on hand when a sale is processed in QuickBooks POS.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall generate reports for inventory items, departments, categories, acquisitions, and donors.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall provide a web browser-based interface for all inventory management functionality.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The application shall be optimized for touch screen user interfaces.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall be available during normal Construction Junction operating hours for internal users.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall require a user login for access.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall perform with predictably low response times to avoid impacting staff tasks.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall support bar code readers, Zebra printers, and touch screen monitors.","Not Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall synchronize constituent and sales data with Salesforce CRM.","Functional","PURE"
2009 - inventory 2.0.pdf,"The system shall display a copyright notice in all user interfaces.","Not Functional","PURE"
