project_id,text,type,source
2009 - peppol.pdf,A standard representation of common criteria of qualitative selection and exclusion shall be defined according to Articles 45-50 of Directive 2004/18/EC.,Functional,PURE
2009 - peppol.pdf,"The right granularity and consistency of criteria shall be found through testing and iterative re-definition in order to ensure legitimacy and to retrieve adequate mapping results.",Functional,PURE
2009 - peppol.pdf,National requirements for qualitative selection and exclusion shall correspond to the EC criteria given in Article 45-50.,Functional,PURE
2009 - peppol.pdf,A template that ensures comparable and reliable mappings between criteria for qualitative selection and exclusion and national attestations shall be defined.,Functional,PURE
2009 - peppol.pdf,The members of this work package shall perform the mapping between national attestations and European criteria of qualitative selection and exclusion.,Functional,PURE
2009 - peppol.pdf,Legitimacy of standard representation of common criteria of qualitative selection and exclusion shall be ensured.,Not Functional,PURE
2009 - peppol.pdf,Legitimacy of standard mapping template shall be ensured.,Not Functional,PURE
2009 - peppol.pdf,Legitimacy of mapping between national attestations and common criteria for qualitative selection and exclusion shall be ensured.,Not Functional,PURE
2009 - peppol.pdf,A decision to deploy either a centralised or a decentralized infrastructure that provides the mapping service shall be made.,Not Functional,PURE
2009 - peppol.pdf,Technical means to provide the mapping service shall be defined.,Not Functional,PURE
2009 - peppol.pdf,An entity that hosts the mapping facility shall be defined in dependence of the type of infrastructure and the dedicated governing model.,Not Functional,PURE
2009 - peppol.pdf,"A governing model with the necessary status and power shall be formally defined in order to ensure fulfilment of functions like liability, sustainability and maintainability.",Not Functional,PURE
2009 - peppol.pdf,Liability of organisation that governs the infrastructure and mapping facility shall be defined.,Not Functional,PURE
2009 - peppol.pdf,The mapping facility shall ensure sustainability of the system over time based on commonly agreed mapping schemes.,Not Functional,PURE
2009 - peppol.pdf,A formal procedure to make changes to the system shall be defined.,Not Functional,PURE
2009 - peppol.pdf,"The mapping facility shall be accessible to all relevant key stakeholders such as economic operators, contracting authorities, certifiers and national service providers.",Functional,PURE
2009 - peppol.pdf,Identity and access management shall provide a functionality to register an economic operator in a formal procedure in order to create a VCD account.,Functional,PURE
2009 - peppol.pdf,Identity and access management shall provide an interface to submit sensitive economic operator data in order to allow the economic operator to apply for the creation of a VCD account.,Functional,PURE
2009 - peppol.pdf,Sensitive economic operator data shall be verified through a formal procedure by an officer.,Functional,PURE
2009 - peppol.pdf,Sensitive economic operator data shall be placed to a VCD account by an officer.,Functional,PURE
2009 - peppol.pdf,Identity and access management shall provide a functionality that enables the economic operator to receive his log-in data.,Functional,PURE
2009 - peppol.pdf,A change procedure shall be defined in order to modify sensitive economic operator data that is connected to the VCD account.,Functional,PURE
2009 - peppol.pdf,The economic operator shall be able to delete his account.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide a functionality to check through identity and access management whether an economic operator has sufficient user rights to access his account.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide an interface where the economic operator can provide non-sensitive economic operator data.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide an interface where tender-specific data can be either fetched from or be provided through.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide an interface where the economic operator can request the creation of a VCD package.,Functional,PURE
2009 - peppol.pdf,The VCD system shall have an interface to receive and process the information provided by the pre-VCD mapping tool.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide a functionality that suggests a possible compilation of the VCD to the economic operator according to the tender-specific criteria.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide a functionality where the economic operator can decide which particular attestation services should be invoked and collected.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide a functionality that displays the attestation services that cannot be invoked automatically and that have to be manually added by the economic operator.,Functional,PURE
2009 - peppol.pdf,The VCD system shall have an interface/technical access to retrieve attestations that can be automatically retrieved from issuing bodies.,Functional,PURE
2009 - peppol.pdf,The VCD system shall have a functionality to extract structural data of evidence from attestations that can be retrieved automatically.,Functional,PURE
2009 - peppol.pdf,The VCD system shall have an interface to submit/upload evidence that have to be provided manually by the economic operator.,Functional,PURE
2009 - peppol.pdf,The evidence submitted to the VCD system shall correspond to the mapping information suggested by the VCD system.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide an interface where an economic operator can add structural data of evidence that belong to specific evidence.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide an interface where the economic operator can initiate the compilation process.,Functional,PURE
2009 - peppol.pdf,The VCD system shall provide a functionality to compile various data formats from various sources into a single VCD package.,Functional,PURE
2009 - peppol.pdf,The VCD package shall provide a functionality to add structural VCD package data to the VCD package and VCD system during the compilation process.,Functional,PURE
2009 - peppol.pdf,The VCD package shall provide a functionality to add tender-specific data to the VCD package and VCD system during the compilation process.,Functional,PURE
2009 - peppol.pdf,The VCD package shall provide a functionality to add economic operator data to the VCD package and VCD system during the compilation process.,Functional,PURE
