project_id,text,type,source
2009 - video search.pdf,"The system shall share the same search bar for both Torrent and Video Stream searches.","Functional","PURE"
2009 - video search.pdf,"The system shall update the database of torrent sites via the internet.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a tick box to include torrent searching in the search process.","Functional","PURE"
2009 - video search.pdf,"The system shall retrieve the number of seeds, number of peers, file size, date posted, and a webpage link for torrent queries.","Functional","PURE"
2009 - video search.pdf,"The system shall display the message ""No results were found for this search"" if no results are found.","Functional","PURE"
2009 - video search.pdf,"The system shall arrange results in size, date, or alphabetical order when the user clicks on column headers.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a page button for result navigation.","Functional","PURE"
2009 - video search.pdf,"The system shall update the database of video hosting and video linking sites via the internet.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a tick box to include video host searching in the search process.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a tick box to include video link searching in the search process.","Functional","PURE"
2009 - video search.pdf,"The system shall retrieve the full video name, length, date posted, and a video link for video hosting site queries.","Functional","PURE"
2009 - video search.pdf,"The system shall retrieve the show name, episode name, and webpage link for video link site queries.","Functional","PURE"
2009 - video search.pdf,"The system shall remove unselected websites from the results when a user filters websites.","Functional","PURE"
2009 - video search.pdf,"The system shall use hyperlinks to open websites in the user's default web browser.","Functional","PURE"
2009 - video search.pdf,"The system shall complete a query to any website within 5 seconds.","Not Functional","PURE"
2009 - video search.pdf,"The system shall send a hyperlink to the default browser in less than 1 second.","Not Functional","PURE"
2009 - video search.pdf,"The system shall load the program in less than 10 seconds.","Not Functional","PURE"
2009 - video search.pdf,"The system shall not display any torrent result with 0 seeds.","Functional","PURE"
2009 - video search.pdf,"The system shall sort results in less than 0.1 seconds.","Not Functional","PURE"
2009 - video search.pdf,"The system shall display 100 results per results page.","Functional","PURE"
2009 - video search.pdf,"The system shall not display any torrent result with a rating of less than 1.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a filter option for parental controls to exclude explicit content.","Functional","PURE"
2009 - video search.pdf,"The system shall provide a favorites option to store links to videos.","Functional","PURE"
2009 - video search.pdf,"The system must be portable across Microsoft XP, Vista, Mac OS X, and Linux platforms.","Not Functional","PURE"
2009 - video search.pdf,"The system must be compatible with Internet Explorer, Firefox, and Safari web browsers.","Not Functional","PURE"
