project_id,text,type,source
2010 - mashboot.pdf,"The system shall provide a standardized interface to unify a multitude of social networks.",Functional,PURE
2010 - mashboot.pdf,The system shall allow users to schedule campaign events to be distributed to social networks.,Functional,PURE
2010 - mashboot.pdf,The system shall provide a plugin-based architecture for abstracting services behind a single facade.,Functional,PURE
2010 - mashboot.pdf,The system shall allow users to view social networking messages directed at them.,Functional,PURE
2010 - mashboot.pdf,The system shall allow users to perform data mining tasks on social networks.,Functional,PURE
2010 - mashboot.pdf,The system shall allow the use of external authentication modules for user login.,Functional,PURE
2010 - mashboot.pdf,The system shall provide an internal authentication mechanism.,Functional,PURE
2010 - mashboot.pdf,The system shall include a web client interface to interact with campaigns.,Functional,PURE
2010 - mashboot.pdf,The system shall interface with a database for storage and retrieval of account and campaign data.,Functional,PURE
2010 - mashboot.pdf,The system shall provide a monitoring dashboard to view responses to campaign content.,Functional,PURE
2010 - mashboot.pdf,The system shall include an explore view to monitor topics of interest in social media.,Functional,PURE
2010 - mashboot.pdf,The Mashbot server shall run on hardware capable of connecting to the Internet as a server.,Not Functional,PURE
2010 - mashboot.pdf,The Mashbot server shall be capable of interfacing with modern database software.,Not Functional,PURE
2010 - mashboot.pdf,The Mashbot server shall require no greater than 1 gigabyte of RAM memory.,Not Functional,PURE
2010 - mashboot.pdf,The web client shall require no more than 256 megabytes of RAM.,Not Functional,PURE
2010 - mashboot.pdf,The system shall encrypt data between the web client and the server using TLS.,Not Functional,PURE
2010 - mashboot.pdf,The system shall send emails using SMTP.,Functional,PURE
2010 - mashboot.pdf,The system shall allow for the creation of new user accounts.,Functional,PURE
2010 - mashboot.pdf,The system shall require a username for new user account creation.,Functional,PURE
2010 - mashboot.pdf,The system shall require a password for new user account creation.,Functional,PURE
2010 - mashboot.pdf,The system shall require a name for new user account creation.,Functional,PURE
2010 - mashboot.pdf,The system shall require an email address for new user account creation.,Functional,PURE
2010 - mashboot.pdf,"The system shall allow users to modify their own password, email address, and name.",Functional,PURE
2010 - mashboot.pdf,The system shall allow for the deactivation of user accounts.,Functional,PURE
2010 - mashboot.pdf,The system shall deny access to deactivated users.,Functional,PURE
2010 - mashboot.pdf,The system shall only allow users to change their own passwords.,Functional,PURE
2010 - mashboot.pdf,"The system shall support campaigns consisting of a name, pieces of content, and a schedule.",Functional,PURE
2010 - mashboot.pdf,The system shall support text and image content types for campaigns.,Functional,PURE
2010 - mashboot.pdf,The system shall allow the association of Mashbot accounts with external service accounts.,Functional,PURE
2010 - mashboot.pdf,The system shall allow for the backup of the data system to non-volatile storage.,Not Functional,PURE
2010 - mashboot.pdf,The system shall allow only valid users to log into the system.,Functional,PURE
2010 - mashboot.pdf,The system shall allow the System Administrator to configure a session timeout.,Functional,PURE
2010 - mashboot.pdf,The system shall allow users to drag items to a calendar to schedule content.,Functional,PURE
2010 - mashboot.pdf,The system shall allow users to set up monitored searches for services supporting keyword search APIs.,Functional,PURE
