project_id,text,type,source
2010 - split merge.pdf,"The system shall provide a graphical user interface (GUI) to handle PDF files.","Functional","PURE"
2010 - split merge.pdf,"The system shall provide a command-line interface (Console) for PDF manipulation.","Functional","PURE"
2010 - split merge.pdf,"The system shall include an Alternate Mix plugin to combine two PDF documents by taking pages alternatively.","Functional","PURE"
2010 - split merge.pdf,"The system shall include a Merge/Extract plugin to combine multiple PDF documents or subsections into a single document.","Functional","PURE"
2010 - split merge.pdf,"The system shall include a Rotate plugin to rotate pages of selected PDF documents.","Functional","PURE"
2010 - split merge.pdf,"The system shall include a Split plugin to divide a PDF document into multiple parts.","Functional","PURE"
2010 - split merge.pdf,"The system shall include a Visual Document Composer plugin to drag and drop pages from multiple PDF documents into a new document.","Functional","PURE"
2010 - split merge.pdf,"The system shall include a Visual Reorder plugin to rotate, reorder, or delete specific pages from a PDF document.","Functional","PURE"
2010 - split merge.pdf,"The system shall allow the user to save and load the working environment to automate recurrent jobs.","Functional","PURE"
2010 - split merge.pdf,"The user shall be able to split a PDF document only one at a time.","Functional","PURE"
2010 - split merge.pdf,"The system shall require PDF version 1.5 or higher to compress output files.","Not Functional","PURE"
2010 - split merge.pdf,"The [FILENUMBER] prefix variable shall support a maximum of 10 digits.","Not Functional","PURE"
2010 - split merge.pdf,"The system shall support merging whole documents, specific page ranges, or single pages using a comma-separated selection.","Functional","PURE"
2010 - split merge.pdf,"The system shall allow the user to export the list of selected files as an XML file.","Functional","PURE"
2010 - split merge.pdf,"The Alternate Mix feature shall support only two documents at a time.","Functional","PURE"
2010 - split merge.pdf,"The system shall provide an Image Viewer to preview selected PDF pages.","Functional","PURE"
2010 - split merge.pdf,"The system shall display log messages categorized as DEBUG/INFO (black), WARNING (blue), and ERROR/FATAL (red).","Functional","PURE"
2010 - split merge.pdf,"The system shall allow users to configure language, GUI theme, alert sounds, and log detail levels.","Functional","PURE"
2010 - split merge.pdf,"The system shall require a restart to apply changes made in the Settings panel.","Not Functional","PURE"
2010 - split merge.pdf,"The software shall run on any platform with a Java Virtual Machine (JVM) version 1.6 or higher.","Not Functional","PURE"
2010 - split merge.pdf,"The system shall consume a maximum of 254MB of memory by default.","Not Functional","PURE"
2010 - split merge.pdf,"The application shall occupy at least 13.9MB of disk space.","Not Functional","PURE"
2010 - split merge.pdf,"The system shall ensure that input PDF files remain unmodified during operations.","Not Functional","PURE"
2010 - split merge.pdf,"The software shall be licensed under the GNU General Public License (GPL).","Not Functional","PURE"
