project_id,text,type,source
2011 - opensg 0.1.doc,"The SRS shall address the securing of data artifacts.","Functional","PURE"
2011 - opensg 0.1.doc,"The SRS shall address the processes supporting the creation, retrieval, updating, and deletion of information objects.","Functional","PURE"
2011 - opensg 0.1.doc,"The Business Architecture shall include a list of use cases and integration requirements.","Functional","PURE"
2011 - opensg 0.1.doc,"The Business Architecture shall define business services at the functional level.","Functional","PURE"
2011 - opensg 0.1.doc,"The Application Architecture shall model applications as logical components.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The Application Architecture shall define the services each logical component provides or consumes.","Functional","PURE"
2011 - opensg 0.1.doc,"The Data Architecture shall model EIM data consistently across all integration services to ensure semantic interoperability.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The Technology Architecture shall define how services interact to support end-to-end EIM business processes.","Functional","PURE"
2011 - opensg 0.1.doc,"The EIM Competency Center shall provide governance and knowledge distribution.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The system shall provide the ability to share models with external entities.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall support Business to Business (B2B) model sharing.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall support Consumer (B2C) model sharing.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall support Smart Grid data management requirements.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall support non-Smart Grid data management requirements.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall include self-healing and self-discovery capabilities.","Functional","PURE"
2011 - opensg 0.1.doc,"The Data Architecture shall include persistent data store architectural requirements.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The system shall support collocated Smart Grid and non-Smart Grid data within persistent data stores.","Functional","PURE"
2011 - opensg 0.1.doc,"The system shall utilize localized data stores.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The system shall utilize centralized data stores.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The EIM shall incorporate the IEC Common Information Model (CIM).","Not Functional","PURE"
2011 - opensg 0.1.doc,"The EIM shall enable IEC Common Information Model-based messaging.","Functional","PURE"
2011 - opensg 0.1.doc,"The EIM shall enable the creation of persistent data stores based on the IEC Common Information Model.","Functional","PURE"
2011 - opensg 0.1.doc,"The information model shall define common definitions of data concepts.","Not Functional","PURE"
2011 - opensg 0.1.doc,"The information model shall allow aliases of data concepts.","Functional","PURE"
2011 - opensg 0.1.doc,"The Technical Architecture shall include a metadata repository.","Functional","PURE"
